# 中文程度副词表
# 用于情感分析的程度副词加权
# 格式：词语<TAB>权重

# 极强 (3.0)
极其	3.0
极	3.0
极度	3.0
极端	3.0
超级	3.0
超	3.0
万分	3.0
无比	3.0
绝	3.0
透	3.0
死	3.0
坏了	3.0
透顶	3.0

# 很强 (2.5)
非常	2.5
特别	2.5
格外	2.5
十分	2.5
异常	2.5
异常	2.5
异常	2.5
惊人	2.5
惊人地	2.5
相当	2.5
异常	2.5
异乎寻常	2.5
异常	2.5
过度	2.5
过度地	2.5
过分	2.5
过	2.5
好	2.5
好不	2.5
何等	2.5
何等	2.5
巨	2.5
巨	2.5
贼	2.5
爆	2.5
绝	2.5

# 较强 (2.0)
很	2.0
挺	2.0
怪	2.0
老	2.0
尤其	2.0
尤其	2.0
尤为	2.0
更	2.0
更加	2.0
越发	2.0
愈	2.0
愈加	2.0
颇	2.0
满	2.0
蛮	2.0
够	2.0
够呛	2.0
实足	2.0
十足	2.0

# 稍强 (1.5)
较	1.5
比较	1.5
较为	1.5
还	1.5
要	1.5
更	1.5
越	1.5
愈	1.5
益	1.5
愈益	1.5
愈发	1.5
日益	1.5
越来越	1.5

# 稍弱 (0.5)
稍	0.5
稍微	0.5
稍许	0.5
略	0.5
略微	0.5
些许	0.5
一点	0.5
一点儿	0.5
一点	0.5
点点	0.5
些微	0.5
轻微	0.5
弱	0.5
弱弱	0.5
微	0.5
微微	0.5
不大	0.5
不太	0.5
不怎么	0.5
不怎么	0.5

# 否定 (但这是程度副词表，所以否定词不放在这里)
